MMS Id,Location Name,Normalized Call Number,Permanent Call Number,Summary Holding,ISSN,Title,Num of Items (In Repository),Num of Loans (In House + Not In House),Author
991003734819702920,Main Collection,0rm!16 c8,RM16 .C8,LIBRARY RETAINS LATEST TWO YEARS ONLY.,0070-2102; 00702102; 8755-8823; 87558823,Conn's current therapy.,1,0,
991003722469702920,Main Collection,"0rm""315 a4",RM315 .A4,"BOUND : v.3-7, 13, 16, 18, 37-38, 42.",0065-2229; 00652229,Advances in biochemical psychopharmacology.,1,0,
991003731879702920,Main Collection,0s 1 h5,S1 .H5,"BOUND : v.1-60, no.1; 1925-Feb. 1992.",0073-2230; 00732230,Hilgardia.,15,20,
991003631049702920,Storage,0s 1 u632,S1 .U632,BOUND (IN STORAGE) : 1979-1981.,,Agricultural journal titles and abbreviations.,1,0,
991003664109702920,Microform - Ask at Research Help Desk - 2nd Floor,0s 1 w3,S1 .W3,MICROFILM : v.84-115; 1959-1990.,0893-5130; 08935130; 0043-0129; 00430129,Wallaces farmer.,1,0,
991001354979702920,Main Collection,0s!21 a2,S21 .A2,BOUND : 1912-1960.,0082-9803; 00829803,Report of the Secretary of Agriculture /,21,0,United States. Department of Agriculture.
991001355029702920,Main Collection,0s!21 a2,S21 .A2,BOUND : 1889-1893.,,Report of the Secretary of Agriculture.,8,0,United States. Department of Agriculture.
991001355789702920,Main Collection,0s!21 a202,S21 .A202,BOUND : 1918-1923.,0889-8774; 08898774,"Annual reports of the Department of Agriculture for the fiscal year ended ... : report of the Secretary of Agriculture, miscellaneous reports.",5,0,United States. Department of Agriculture.
991003657139702920,Main Collection,0s!21 a35 1979,S21 .A35 1979,BOUND : 1979.,,What's to eat? : And other questions kids ask about food.,1,0,United States. Department of Agriculture.
991002623199702920,Main Collection,0s!21 a37,S21 .A37,"BOUND : no.224, 296, 360, 362, 367, 496, 521, 631-632, 651, 654, 674, 688, 730.",0065-4612; 00654612,Agriculture handbook /,1,0,
991003694999702920,Main Collection,"0s""217 a6134",S217 .A6134,"BOUND : no.3-4, 7-10, 12-14, 16-26, 28-30, 32, 34-35.",0072-6729; 00726729,"Technical bulletin - Ministry of Agriculture, Fisheries and Food.",1,0,"Great Britain. Ministry of Agriculture, Fisheries and Food."
991003737969702920,Main Collection,"0s""405 f6",S405 .F6,BOUND : v.1-23.,,Better farming series.,21,0,Food and Agriculture Organization of the United Nations.
991003638269702920,Main Collection,"0s""405 f6 1976",S405 .F6 1976,"BOUND : v.1-12, 28-38.",,Better farming series /,22,0,
991003747609702920,Main Collection,"0s""507 m5 m5",S507.M5 M5,BOUND : v.7.,,Midwest farm handbook /,1,3,
