MMS Id,Location Name,Normalized Call Number,Permanent Call Number,Summary Holding,ISSN,Title,Num of Items (In Repository),Num of Loans (In House + Not In House),Author
991003743979702920,Main Collection,"0sb""215 s6",SB215 .S6,BOUND : v.11-35; 1947-1972.,,Spreckels sugar beet bulletin.,5,5,
991003746029702920,Main Collection,"0sb""292 a2 f63",SB292.A2 F63,BOUND : v. 1.,0899-7837; 08997837,Focus on phytochemical pesticides.,1,0,
991003762779702920,Main Collection,"0sb""354 b53",SB354 .B53,BOUND : 1991-1992.; CEASED PUBLICATION.,1061-9658; 10619658,California fruit grower annual.,2,11,
991003747149702920,Main Collection,"0sb""354 r6972",SB354 .R6972,BOUND : 1949-1958.,,The fruit year book.,8,6,
991003747109702920,Main Collection,"0sb""403 g48",SB403 .G48,"BOUND : 1936, 1939, 1950-1955.",0433-1710; 04331710,Gardens and gardening : the studio garden annual.,8,4,
991003632159702920,Main Collection,"0sb""413 r47 r5",SB413.R47 R5,"BOUND : 1949, 1951-1952, 1953.",1467-2871; 14672871,The Rhododendron year book.,3,0,
991003747409702920,Main Collection,"0sb""413 r47 r6",SB413.R47 R6,BOUND : 1952.,,The Rhododendron handbook.,1,0,
991003627549702920,Main Collection,"0sb""419.25 i58",SB419.25 .I58,"BOUND : v.2-v.9, no.4; 1985-Apr. 1992.; INCOMPLETE : v.2-3; 1985-1986",0742-1648; 07421648,Interior landscape industry.,1,0,
991003763859702920,Main Collection,"0sb""419.25 i58",SB419.25 .I58,"BOUND : v.9, no.5-v.17; May 1992-Winter 2000.",0742-1648; 07421648; 1063-1607; 10631607,Interior landscape.,14,5,
991000631899702920,Current Periodicals - 2nd Floor,"0sb""435 j86",SB435 .J86,RECENT ISSUES SHELVED IN CURRENT PERIODICALS.,2155-0778; 21550778; 0278-5226; 02785226; 1935-5297; 19355297,Arboriculture & urban forestry.,1,0,
991000631899702920,Main Collection,"0sb""435 j86",SB435 .J86,UNBOUND : v.40-  ; 2014-; INCOMPLETE : v.40; 2014.,2155-0778; 21550778; 0278-5226; 02785226; 1935-5297; 19355297,Arboriculture & urban forestry.,1,0,
991003744019702920,Main Collection,"0sb""435 w38",SB435 .W38,BOUND : 7th-11th; 1964-1968.,,Papers presented at the ... annual Western Street Tree Symposium.,5,24,Western Street Tree Symposium.
991003753589702920,Main Collection - Oversized,"0sb""466 u63 w45",SB466.U63 W45,BOUND : 1984/88-1992/96.,,The White House grounds and gardens.,3,2,
991002586979702920,Main Collection,"0sb""469 a585a 0",SB469 .A585a,BOUND : 1999.,1090-7432; 10907432,Annual meeting proceedings /,1,0,American Society of Landscape Architects. Annual Meeting.
991003706389702920,Current Periodicals - 2nd Floor,"0sb""469 g36",SB469 .G36,LATEST ISSUES SHELVED IN CURRENT PERIODICALS.,0016-4720; 00164720,Garten und Landschaft.,15,0,
991003706389702920,Main Collection,"0sb""469 g36",SB469 .G36,BOUND : v.93-   ; 1983-; INCOMPLETE : v.98; 1988. v.104; 1994.,0016-4720; 00164720,Garten und Landschaft.,31,13,
991003631869702920,Main Collection,"0sb""469 g37",SB469 .G37,BOUND : v.1-185; 1982-2013.; INCOMPLETE : v.9; 1990. v.14; 1995. 2004-2005.; CEASED PUBLICATION.,0733-4923; 07334923,Garden design.,27,39,
991003624359702920,Main Collection,"0sb""469 i55",SB469 .I55,BOUND : no.101-326; 1973-2003.; INCOMPLETE : 1975.; INDEX : no.133-158; 1981-1985.,0020-2908; 00202908,Landscape design : journal of the Institute of Landscape Architects.,26,42,
991004523709702920,Main Collection - Oversized,"0sb""469 l221",SB469 .L221,BOUND : v.1-2.,1137-3334; 11373334,Landscape architecture : the world of environmental design.,2,12,
991003703569702920,Main Collection,"0sb""469 l245",SB469 .L245,"BOUND : v.1-32, no.2; 1951-1994.; INCOMPLETE : v.11-13; 1961-1964. v.17-19; 1967-1975.",0023-8023; 00238023,Landscape.,16,13,
991003621279702920,Current Periodicals - 2nd Floor,"0sb""469 l3",SB469 .L3,LATEST ISSUES SHELVED IN CURRENT PERIODICALS.,0023-8031; 00238031,Landscape architecture.,16,0,
991003621279702920,Main Collection,"0sb""469 l3",SB469 .L3,BOUND : v.91-   ; 2001-; INCOMPLETE : v.91-92; 2001-2002.,0023-8031; 00238031,Landscape architecture.,31,71,
991003621279702920,Storage,"0sb""469 l3",SB469 .L3,BOUND (IN STORAGE) : v.14-23; 1923-1933. v.28-60; 1937-1969. v.63; 1972/73. v.65; 1975. v.67; 1977. v.69-90; 1979-2000.; INCOMPLETE (IN STORAGE) : v.69; 1979. v.72; 1982.; INDEX (IN STORAGE) : v.1/72; 1910-1982.,0023-8031; 00238031,Landscape architecture.,37,241,
991003744709702920,Main Collection,"0sb""469 l32",SB469 .L32,BOUND : 1971-1975; 1977.,,Landscape architecture yearbook.,6,43,
991000741579702920,Current Periodicals - 2nd Floor,"0sb""469 t66",SB469 .T66,LATEST ISSUES SHELVED IN CURRENT PERIODICALS.,0942-752X; 0942752X,Topos : European landscape magazine.,5,0,
991000741579702920,Main Collection,"0sb""469 t66",SB469 .T66,BOUND : no.58- ; 2007-; INCOMPLETE : 2008; 2009. 2013.; LATEST ISSUES SHELVED IN CURRENT PERIODICALS.,0942-752X; 0942752X,Topos : European landscape magazine.,8,23,
991004721769702920,Main Collection,"0sb""470.55 n4 l36",SB470.55.N4 L36,BOUND : 93-95.,1569-5689; 15695689,Landschapsarchitectuur en stedebouw in Nederland = Landscape architecture and town planning in the Netherlands.,2,28,
991003627909702920,Main Collection,"0sb""472.8 y43",SB472.8 .Y43,BOUND : 1984-1985.,0747-9581; 07479581,The Yearbook of landscape architecture.,2,32,
991003756529702920,Main Collection,"0sb""481 a1 p2",SB481.A1 P2,BOUND : v.44-51; 1991-1998.; CEASED PUBLICATION,0192-2505; 01922505; 1057-204X; 1057204X,Park & grounds management.,6,55,
