Num of Loans (In House + Not In House),Last Loan Date,Normalized Call Number,Permanent Call Number,Publisher,Publication Date,Author,Title,ISBN,MMS Id,Network Id,Location Name,Material Type,Barcode,Description
3,2008-03-14 03:59:00,"0la""229 g55",LA229 .G55,Basic Books,[1970],"Glazer, Nathan.",Remembering the answers; essays on the American student revolt.,9780465069125; 0465069126,991001616709702920,991002366809702901,Main Collection,Book,30150005715575,
8,2010-03-08 02:59:00,"0la""229 k55",LA229 .K55,WC Brown Co,[1971],"Knott, Paul D., compiler.",Student activism,9780697075796; 0697075796,991002451229702920,991002979019702901,Main Collection,Book,30150010343454,
4,2010-11-07 02:59:00,"0la""229 m28",LA229 .M28,Wadsworth Pub Co,[1969],"McEvoy, James, 1940- compiler.",Black power and student rebellion /,,991003563189702920,991000635119702901,Main Collection,Book,30150005715716,
2,2010-12-05 02:59:00,"0la""229 m58 2008",LA229 .M58 2008,State University of New York Press,©2008.,"Mitra, Dana L.",Student voice in school reform : building youth-adult partnerships that strengthen schools and empower youth /,0791473198; 9780791473191; 0791473201; 9780791473207,991001275199702920,991034793069702901,Main Collection,Book,30150016984699,
3,2004-06-28 03:59:00,"0la""229 p59 2001",LA229 .P59 2001,Yale University Press,2001.,"Pope, Denise Clark, 1966-","""Doing school"" : how we are creating a generation of stressed out, materialistic, and miseducated students /",9780300090130; 0300090137; 9780300098334; 0300098332,991004018519702920,991001653689702901,Main Collection,Book,30150016142744,
5,2016-04-08 03:59:00,"0la""229 r39",LA229 .R39,Simon and Schuster,[1975],,Rebels or revolutionaries? : Student movements of the 1960's /,9780671187378; 0671187376,991001549189702920,991057767259702901,Main Collection,Book,30150005715799,
4,2017-11-03 11:56:30,"0la""229 r45 2004",LA229 .R45 2004,State University of New York Press,©2004.,"Renn, Kristen A.","Mixed race students in college : the ecology of race, identity, and community on campus /",9780791461631; 0791461637; 9780791461648; 0791461645,991000040239702920,991013482379702901,Main Collection,Book,30150016557032,
3,2018-04-15 20:44:36,"0la""229 r56 1998",LA229 .R56 1998,Johns Hopkins University Press,©1998.,"Rhoads, Robert A.",Freedom's web : student activism in an age of cultural diversity /,9780801858871; 0801858879,991003001429702920,991051906719702901,Main Collection,Book,30150015511436,
3,2005-02-27 02:59:00,"0la""229 r63",LA229 .R63,Seabury Press,[1969],"Rogan, Donald L.",Campus apocalypse; the student search today,,991003772189702920,991000742309702901,Main Collection,Book,30150005715815,
2,2010-12-05 02:59:00,"0la""229 r85 1996",LA229 .R85 1996,Fairleigh Dickinson University Press,©1996.,"Rudy, Willis, 1920-",The campus and a nation in crisis : from the American Revolution to Vietnam /,9780838636589; 0838636586,991004608329702920,991043678069702901,Main Collection,Book,30150015056887,
