Title,Author,,ISBN
The Slow Professor: Challenging the Culture of Speed in the Academy,Maggie Berg & Barbara K. Seeber,https://www.amazon.com/Slow-Professor-Challenging-Culture-Academy/dp/1442645563,'1442645563
The Spark of Learning: Energizing the College Classroom with the Science of Emotion,,https://www.amazon.com/dp/B01LF0UBFW/ref=dp-kindle-redirect?_encoding=UTF8&btkr=1,'194366532X
The Spark of Learning: Revolutionary New Science of Exercise and the Brain,,https://www.amazon.com/Spark-Revolutionary-Science-Exercise-Brain/dp/0316113514/ref=mt_paperback?_encoding=UTF8&me=,'0316113514
The Sympathizer,Viet Thanh Nguyen,https://www.amazon.com/Sympathizer-Novel-Viet-Thanh-Nguyen/dp/1543618022,'1543618022
The Upside of Stress,,https://www.amazon.com/dp/B00OI5PGWU/ref=dp-kindle-redirect?_encoding=UTF8&btkr=1,'1583335617
The Winona LaDuke Chronicles,Winona LaDuke,https://www.amazon.com/Chronicles-Winona-Laduke-Stories-Environmental/dp/1552669599,'1552669599
Tyranny of the Meritocracy,Lani Guinier,https://www.amazon.com/Tyranny-Meritocracy-Democratizing-Education-America-ebook/dp/B00BVJHLWY,'0807006270
Underground Undergrads,UCLA undergrads,https://books.labor.ucla.edu/p/55/undergroundundergrads,'0892150025
What Blood Won’t Tell: A History Of Race On Trial in America,Ariela Gross,https://www.amazon.com/What-Blood-Wont-Tell-History/dp/0674047982,'0674047982
Whistling Vivaldi: How Stereotypes Affect Us And What We Can Do,Claude M. Steele,https://www.amazon.com/Whistling-Vivaldi-Stereotypes-Affect-Issues/dp/0393339726/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=,'0393339726
White Like Me,Tim Wise,https://www.amazon.com/White-Like-Me-Reflections-Privileged/dp/1593764251/ref=asap_bc?ie=UTF8,'1593764251
Writing Beyond Race: Living Theory & Practice,bell hooks,https://www.amazon.com/Writing-Beyond-Race-Living-Practice/dp/0415539153/ref=asap_bc?ie=UTF8,'0415539153
